"ZONE","Organism","1","2","3","4","5","6","7","8"
"M","SHRIMP",0,0,0,2,0,0,0,0
"M","BLACK_CLAWED",4,0,3,0,0,2,5,2
"M","HEMIGRAPSUS",0,13,1,24,1,5,51,0
"M","HERMIT_CRABS",0,28,20,92,31,16,32,4
"M","KELP",3,0,1,6,0,0,3,0
"M","PORCELAIN",5,3,2,0,0,3,36,39
"M","ROCK",0,1,0,0,0,0,0,1
"M","OTHER_UNKNOWN_DECAPODA",0,0,0,1,0,5,0,10
"M","ORANGE_ENCRUSTING",0,1,0,0,0,0,0,0
"M","OTHER_UNKNOWN_BRYOZOA",0,0,0,0,0,1,1,0
"M","BLOOD",0,1,0,0,0,0,0,2
"M","EVASTERIAS..MOTTLED.",0,0,0,1,0,0,0,0
"M","LEATHER",0,1,0,0,0,0,0,0
"M","LEPTASTERIAS..SIX.RAYED.",2,3,0,16,1,4,8,7
"M","PISASTER",0,0,1,0,0,0,0,0
"M","BRITTLE",0,0,1,0,0,0,0,6
"M","URCHIN",2,3,2,23,1,0,2,0
"M","CUCUMBER",10,9,2,0,0,1,3,15
"M","TUNICATE",0,1,0,0,0,0,0,0
"M","SEA_SQUIRT",1,1,2,0,0,0,0,4
"M","OTHER_UNKNOWN_TUNICATA",0,0,0,0,0,0,0,0
"M","CLINGFISH",0,0,0,0,0,0,0,0
"M","SCULPIN",0,0,0,3,0,0,0,0
"M","GUNNEL",2,0,0,0,0,0,8,3
"M","OTHER_UNKNOWN_OSTEICHTHYES",0,0,0,0,0,0,0,0
"U","YELLOW",0,0,0,0,0,0,0,0
"U","ORANGE",0,0,0,0,0,0,0,0
"U","RED",0,0,0,0,0,0,0,0
"U","UNKNOWN_OTHER_PORIFERA",0,0,0,0,0,0,0,0
"U","ANEMONE",0,0,0,0,0,5,0,0
"U","AGGREGATING.ANEMONE",0,0,0,0,0,3,0,0
"U","PURPLE.ENCRUSTING.HYDROCORAL",0,0,0,0,0,0,0,0
"U","HYDROID",0,0,0,0,0,0,0,0
"U","PACIFIC.SEA.NETTLE",0,0,0,0,0,0,0,0
"U","LION.S.MANE",0,0,0,0,0,0,0,0
"U","MOON",0,0,0,0,0,0,0,0
"U","EGG",0,0,0,0,0,0,0,0
"U","PLATYHELMINTHES",0,0,0,0,0,0,0,0
"U","NEMERTEA",0,0,0,0,0,0,0,0
"U","ANNELIDA",0,0,0,0,0,0,0,5
"U","ANNELIDA_TUBEWORM",0,0,0,0,0,0,0,0
"U","CHITON_LINED",0,0,0,0,0,0,0,1
"U","CHITON_MOSSY",0,0,0,0,0,10,0,4
"U","CHITON_HAIRY",0,0,0,1,0,2,0,1
"U","CHITON_LEATHER",0,0,0,0,0,4,0,0
"U","LIMPET",28,81,33,3,26,4,25,171
"U","TOPSNAIL",0,0,0,14,0,0,0,0
"U","TURBAN_SNAIL",13,0,0,0,0,1,0,0
"U","MARGARITE",0,0,0,0,0,0,0,0
"U","PERIWINKLE",0,0,0,0,0,0,0,0
"U","BITTIUM",0,0,0,0,0,0,0,0
"U","WENTLETRAP",0,0,0,0,0,0,0,0
"U","DOGWINKLE",0,0,0,0,0,0,0,0
"U","WELK",2,0,1,0,0,0,0,8
"U","OLIVE",0,0,0,0,0,0,0,0
"U","OTHER_UNKNOWN_GASTROPODA",0,0,0,0,0,3,0,4
"U","SEA_CLOWN",0,0,0,0,0,0,0,0
"U","DORID",0,0,0,0,0,0,0,0
"U","SEA_LEMON",0,0,0,0,0,0,0,0
"U","OTHER_UNKNOWN_OPISTHOBRANCHIA",0,0,0,0,0,0,0,0
"U","MUSSEL",0,0,0,0,0,5,1,12
"U","OYSTER",0,0,0,1,1,1,0,1
"U","CLAM",0,0,0,0,0,0,0,0
"U","SCALLOP",0,0,0,0,0,0,0,0
"U","OTHER_UNKNOWN_BIVALVIA",0,0,0,0,0,0,0,0
"U","BARNACLES",0,5,0,0,0,5,0,0
"U","ISOPODS",0,0,0,0,0,1,0,1
"U","AMPHIPODS",0,0,0,0,0,0,0,1
"U","SHRIMP",0,0,0,0,0,0,0,0
"U","BLACK_CLAWED",0,0,0,0,0,0,0,0
"U","HEMIGRAPSUS",0,0,0,9,0,0,0,0
"U","HERMIT_CRABS",0,0,2,1,0,17,0,1
"U","KELP",0,0,0,0,0,0,0,1
"U","PORCELAIN",0,0,0,0,0,0,0,1
"U","ROCK",0,0,0,0,0,1,0,0
"U","OTHER_UNKNOWN_DECAPODA",0,0,0,0,1,1,4,2
"U","ORANGE_ENCRUSTING",0,0,0,0,0,0,0,0
"U","OTHER_UNKNOWN_BRYOZOA",0,0,0,0,0,0,0,0
"U","BLOOD",0,0,0,0,0,0,0,0
"U","EVASTERIAS..MOTTLED.",0,0,0,0,0,0,0,0
"U","LEATHER",0,0,0,0,0,0,0,0
"U","LEPTASTERIAS..SIX.RAYED.",0,0,0,0,0,0,0,2
"U","PISASTER",0,0,0,0,0,0,0,0
"U","BRITTLE",0,0,0,0,0,0,0,0
"U","URCHIN",0,0,0,0,0,0,0,0
"U","CUCUMBER",0,0,0,0,0,0,0,1
"U","TUNICATE",0,0,0,0,0,0,0,0
"U","SEA_SQUIRT",0,0,0,0,0,0,0,0
"U","OTHER_UNKNOWN_TUNICATA",0,0,0,0,0,0,0,0
"U","CLINGFISH",0,0,0,0,0,0,0,0
"U","SCULPIN",0,0,0,0,0,0,0,0
"U","GUNNEL",0,0,0,0,0,0,0,0
"U","OTHER_UNKNOWN_OSTEICHTHYES",0,0,0,0,0,0,0,0
