zone,section,Sea Lettuce,Rockweed,Sea Moss,Turkish Towel,Turkish Washcloth,Sea Cauliflower,Witches Hair,Iridescent Algae,Green Turfweed,Brown Turfweed,Sargassum,Tar Spot Algae,Crustose Coralline Algae,Filamentous Red Algae,Other Green Algae,Other Brown Algae,Other Red Algae
M,6,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,6,A,P,P,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,6,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,6,A,P,P,A,P,A,A,A,P,A,A,P,A,A,A,A,A
M,6,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,6,A,P,A,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,6,A,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,6,A,P,A,A,A,A,P,A,A,A,A,P,A,A,A,A,A
M,6,A,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,6,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,6,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,6,A,P,P,A,A,A,A,A,A,A,A,P,A,A,A,A,A
L,1,P,A,A,A,P,A,P,A,A,A,A,A,A,A,A,P,A
L,1,P,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,1,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P
L,1,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,1,P,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,P
L,1,P,A,P,A,P,A,A,A,A,A,A,A,A,A,A,P,P
L,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,1,P,P,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
L,1,P,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,P
L,1,P,P,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A
L,1,P,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A
L,1,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,1,P,A,A,A,A,A,P,A,A,A,A,A,A,A,A,P,A
L,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A
L,1,P,A,A,A,A,A,P,A,A,A,A,A,A,A,A,P,A
L,1,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,1,P,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A
L,1,P,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A
L,1,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,1,P,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A
M,1,A,P,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
M,1,A,P,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A
M,1,A,P,P,A,A,A,P,A,A,A,A,A,A,A,A,A,A
M,1,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,1,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,1,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,1,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,1,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,1,P,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,1,P,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,4,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,4,A,P,P,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,4,A,P,P,A,P,A,A,A,P,A,A,P,A,A,A,A,A
M,4,A,P,P,A,A,A,A,A,P,A,A,P,A,A,A,A,A
M,4,A,P,P,A,A,A,P,A,P,A,A,P,A,A,P,A,A
M,4,A,P,P,A,A,A,A,A,P,A,A,P,A,A,A,A,A
M,4,A,P,P,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,4,A,P,P,A,P,A,A,A,P,A,A,P,A,A,A,A,A
M,4,A,P,P,A,A,A,A,A,P,A,A,P,A,A,A,A,A
M,4,P,P,P,A,A,A,P,A,A,A,A,P,A,A,P,A,A
M,4,P,P,P,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,4,A,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,4,A,P,P,A,A,A,P,A,P,A,A,P,A,A,A,A,A
M,4,P,P,A,A,A,A,P,A,A,A,A,P,A,A,A,A,A
M,4,A,P,A,A,A,A,P,A,A,A,A,P,A,A,A,A,A
M,4,A,P,A,A,A,A,A,A,A,A,A,P,A,A,P,P,A
M,4,,P,P,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,4,,P,P,A,A,A,P,A,A,A,A,P,A,A,A,A,A
M,4,,P,A,A,P,A,P,A,P,A,A,P,A,A,A,A,P
M,4,P,P,P,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,4,P,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,4,P,P,A,A,A,A,A,A,A,A,A,P,A,A,A,P,A
M,4,A,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,4,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
L,4,P,P,A,A,A,A,P,A,A,A,A,A,A,P,A,P,A
L,5,P,A,A,A,P,A,A,A,A,A,A,A,A,A,A,P,P
L,5,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P
L,5,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P
M,5,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,P,P,P,A,P,P,A,A,P,A,A,A,A,A,A,A,A
M,5,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,P,P,P,A,P,A,A,A,A,A,A,A,P,A,A,A,A
M,5,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,A,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,5,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,P,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,P
M,5,A,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,5,P,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,P
M,5,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,5,A,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,5,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,5,P,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,5,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,5,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A
L,5,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A
L,5,P,A,A,A,P,A,A,A,A,A,A,A,A,A,A,P,A
L,5,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A
M,8,P,P,A,A,P,A,A,A,A,A,A,P,P,A,A,A,A
M,8,P,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,P,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A
M,8,P,P,A,P,A,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,P,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A
M,8,P,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A
M,8,P,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,A,A,A,A,A,A,A,A,A,A,P,A,A,P,A,A
M,8,P,P,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A
U,8,A,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
U,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,8,P,P,A,A,A,A,P,A,A,A,A,P,P,A,A,A,A
L,8,P,P,A,A,P,A,A,A,A,A,A,P,P,A,A,A,A
L,8,P,P,A,A,P,A,A,A,A,A,A,P,P,A,A,P,A
L,8,P,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
L,8,P,A,A,A,P,A,A,A,A,A,A,P,P,A,A,A,A
L,8,P,A,A,A,A,A,A,A,A,A,A,P,P,A,A,P,A
M,8,P,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,8,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,P,A,P,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,A,P,P,P,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,P,P,P,P,A,A,A,A,A,A,P,A,A,A,P,A
M,8,P,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,8,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,8,P,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,8,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,8,P,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
